country,ISO Country code,surface area (Km2)
Afghanistan,AFG,"652,230"
Albania,ALB,"27,398"
Algeria,DZA,"2,381,740"
Andorra,AND,468
Angola,AGO,"1,246,700"
Antigua & Barbuda,ATG,443
Argentina,ARG,"2,736,690"
Armenia,ARM,"28,203"
Australia,AUS,"7,682,300"
Austria,AUT,"82,445"
Azerbaijan,AZE,"82,629"
Bahamas,BHS,"10,010"
Bahrain,BHR,760
Bangladesh,BGD,"130,170"
Barbados,BRB,430
Belarus,BLR,"202,900"
Belgium,BEL,"30,278"
Belize,BLZ,"22,806"
Benin,BEN,"110,622"
Bhutan,BTN,"38,394"
Bolivia,BOL,"1,083,301"
Bosnia and Herzegovina,BIH,"51,187"
Botswana,BWA,"566,730"
Brazil,BRA,"8,358,140"
Brunei,BRN,"5,265"
Bulgaria,BGR,"108,489"
Burkina Faso,BFA,"273,800"
Burundi,BDI,"25,680"
Cabo Verde,CPV,"4,033"
Cambodia,KHM,"176,515"
Cameroon,CMR,"472,710"
Canada,CAN,"9,093,507"
Central African Republic,CAF,"622,984"
Chad,TCD,"1,259,200"
Chile,CHL,"743,812"
China,CHN,"9,326,410"
Colombia,COL,"1,038,700"
Comoros,COM,"2,235"
Congo (Dem. Rep.),COD,"2,267,048"
Congo (Rep.),COG,"341,500"
Costa Rica,CRI,"51,060"
Cote d'Ivoire,CIV,"318,003"
Croatia,HRV,"55,974"
Cuba,CUB,"109,820"
Cyprus,CYP,"9,241"
Czech Republic,CZE,"77,247"
Denmark,DNK,"42,434"
Djibouti,DJI,"23,180"
Dominica,DMA,751
Dominican Republic,DOM,"48,320"
Ecuador,ECU,"276,841"
Egypt,EGY,"995,450"
El Salvador,SLV,"20,721"
Equatorial Guinea,GNQ,"28,051"
Eritrea,ERI,"101,000"
Estonia,EST,"42,388"
Eswatini,SWZ,"17,204"
Ethiopia,ETH,"1,000,000"
Fiji,FJI,"18,274"
Finland,FIN,"303,815"
France,FRA,"549,970"
Gabon,GAB,"257,667"
"Gambia, The",GMB,"10,120"
Georgia,GEO,"69,700"
Germany,DEU,"348,672"
Ghana,GHA,"227,533"
Greece,GRC,"130,647"
Grenada,GRD,344
Guatemala,GTM,"107,159"
Guinea,GIN,"245,717"
Guinea-Bissau,GNB,"28,120"
Guyana,GUY,"196,849"
Haiti,HTI,"27,560"
Honduras,HND,"111,890"
Hungary,HUN,"89,608"
Iceland,ISL,"100,250"
India,IND,"2,973,193"
Indonesia,IDN,"1,811,569"
Iran,IRN,"1,531,595"
Iraq,IRQ,"437,367"
Ireland,IRL,"68,883"
Israel,ISR,"20,330"
Italy,ITA,"294,140"
Jamaica,JAM,"10,831"
Japan,JPN,"364,485"
Jordan,JOR,"88,802"
Kazakhstan,KAZ,"2,699,700"
Kenya,KEN,"569,140"
Kiribati,KIR,811
Korea (Dem. People’s Rep.),PRK,"120,408"
Korea (Rep.),KOR,"96,920"
Kosovo,-,"10,887"
Kuwait,KWT,"17,818"
Kyrgyzstan,KGZ,"191,801"
Laos,LAO,"230,800"
Latvia,LVA,"62,249"
Lebanon,LBN,"10,230"
Lesotho,LSO,"30,355"
Liberia,LBR,"96,320"
Libya,LBY,"1,759,540"
Liechtenstein,LIE,160
Lithuania,LTU,"62,680"
Luxembourg,LUX,"2,586"
Macedonia,MKD,"25,433"
Madagascar,MDG,"581,540"
Malawi,MWI,"94,080"
Malaysia,MYS,"328,657"
Maldives,MDV,298
Mali,MLI,"1,220,190"
Malta,MLT,316
Marshall Islands,MHL,181
Mauritania,MRT,"1,030,700"
Mauritius,MUS,"2,030"
Mexico,MEX,"1,943,945"
Micronesia,FSM,702
Moldova,MDA,"32,891"
Monaco,MCO,2
Mongolia,MNG,"1,553,556"
Montenegro,MNE,"13,452"
Morocco,MAR,"446,300"
Mozambique,MOZ,"786,380"
Myanmar,MMR,"676,575"
Namibia,NAM,"823,290"
Nauru,NRU,21
Nepal,NPL,"143,351"
Netherlands,NLD,"33,893"
New Zealand,NZL,"264,537"
Nicaragua,NIC,"119,990"
Niger,NER,"1,266,700"
Nigeria,NGA,"910,768"
Norway,NOR,"304,282"
Oman,OMN,"309,500"
Pakistan,PAK,"770,875"
Palau,PLW,459
Panama,PAN,"74,340"
Papua New Guinea,PNG,"452,860"
Paraguay,PRY,"397,302"
Peru,PER,"1,279,996"
Philippines,PHL,"298,170"
Poland,POL,"304,255"
Portugal,PRT,"91,470"
Qatar,QAT,"11,586"
Romania,ROU,"229,891"
Russia,RUS,"16,377,742"
Rwanda,RWA,"24,668"
Saint Kitts and Nevis,KNA,261
Saint Lucia,LCA,606
Saint Vincent and the Grenadines,VCT,389
Samoa,WSM,"2,821"
San Marino,SMR,61
Sao Tome and Principe,STP,964
