country,ISO Country code,health expenditure per person
Afghanistan,AFG,184
Albania,ALB,774
Algeria,DZA,"1,031"
Andorra,AND,"5,949"
Angola,AGO,196
Antigua & Barbuda,ATG,"1,105"
Argentina,ARG,"1,390"
Armenia,ARM,883
Australia,AUS,"4,492"
Austria,AUT,"5,138"
Azerbaijan,AZE,"1,191"
Bahamas,BHS,"1,699"
Bahrain,BHR,"2,453"
Bangladesh,BGD,88
Barbados,BRB,"1,234"
Belarus,BLR,"1,085"
Belgium,BEL,"4,782"
Belize,BLZ,524
Benin,BEN,84
Bhutan,BTN,287
Bolivia,BOL,446
Bosnia and Herzegovina,BIH,"1,102"
Botswana,BWA,970
Brazil,BRA,"1,392"
Brunei,BRN,"2,083"
Bulgaria,BGR,"1,492"
Burkina Faso,BFA,96
Burundi,BDI,64
Cabo Verde,CPV,310
Cambodia,KHM,210
Cameroon,CMR,163
Canada,CAN,"4,600"
Central African Republic,CAF,32
Chad,TCD,100
Chile,CHL,"1,903"
China,CHN,762
Colombia,COL,853
Comoros,COM,121
Congo (Dem. Rep.),COD,34
Congo (Rep.),COG,203
Costa Rica,CRI,"1,286"
Cote d'Ivoire,CIV,190
Croatia,HRV,"1,656"
Cuba,CUB,-
Cyprus,CYP,"2,137"
Czech Republic,CZE,"2,470"
Denmark,DNK,"5,083"
Djibouti,DJI,147
Dominica,DMA,586
Dominican Republic,DOM,873
Ecuador,ECU,980
Egypt,EGY,495
El Salvador,SLV,578
Equatorial Guinea,GNQ,790
Eritrea,ERI,56
Estonia,EST,"1,887"
Eswatini,SWZ,-
Ethiopia,ETH,66
Fiji,FJI,331
Finland,FIN,"3,669"
France,FRA,"4,542"
Gabon,GAB,481
"Gambia, The",GMB,-
Georgia,GEO,718
Germany,DEU,"5,357"
Ghana,GHA,249
Greece,GRC,"2,204"
Grenada,GRD,677
Guatemala,GTM,444
Guinea,GIN,57
Guinea-Bissau,GNB,100
Guyana,GUY,336
Haiti,HTI,120
Honduras,HND,353
Hungary,HUN,"1,912"
Iceland,ISL,"4,116"
India,IND,238
Indonesia,IDN,369
Iran,IRN,"1,262"
Iraq,IRQ,481
Ireland,IRL,"5,335"
Israel,ISR,"2,819"
Italy,ITA,"3,351"
Jamaica,JAM,511
Japan,JPN,"4,405"
Jordan,JOR,568
Kazakhstan,KAZ,903
Kenya,KEN,157
Kiribati,KIR,152
Korea (Dem. People’s Rep.),PRK,-
Korea (Rep.),KOR,-
Kosovo,-,-
Kuwait,KWT,"2,978"
Kyrgyzstan,KGZ,287
Laos,LAO,-
Latvia,LVA,"1,429"
Lebanon,LBN,"1,117"
Lesotho,LSO,251
Liberia,LBR,128
Libya,LBY,-
Liechtenstein,LIE,-
Lithuania,LTU,"1,875"
Luxembourg,LUX,"6,382"
Macedonia,MKD,857
Madagascar,MDG,77
Malawi,MWI,108
Malaysia,MYS,"1,064"
Maldives,MDV,"1,514"
Mali,MLI,118
Malta,MLT,"3,471"
Marshall Islands,MHL,863
Mauritania,MRT,177
Mauritius,MUS,"1,099"
Mexico,MEX,"1,009"
Micronesia,FSM,458
Moldova,MDA,515
Monaco,MCO,"3,407"
Mongolia,MNG,470
Montenegro,MNE,957
Morocco,MAR,435
Mozambique,MOZ,64
Myanmar,MMR,267
Namibia,NAM,942
Nauru,NRU,"1,064"
Nepal,NPL,151
Netherlands,NLD,"5,313"
New Zealand,NZL,"3,530"
Nicaragua,NIC,406
Niger,NER,68
Nigeria,NGA,215
Norway,NOR,"6,222"
Oman,OMN,"1,636"
Pakistan,PAK,134
Palau,PLW,"1,611"
Panama,PAN,"1,543"
Papua New Guinea,PNG,99
Paraguay,PRY,724
Peru,PER,671
Philippines,PHL,323
Poland,POL,"1,704"
Portugal,PRT,"2,661"
Qatar,QAT,"3,900"
Romania,ROU,"1,090"
Russia,RUS,"1,414"
Rwanda,RWA,143
Saint Kitts and Nevis,KNA,"1,443"
Saint Lucia,LCA,681
Saint Vincent and the Grenadines,VCT,470
Samoa,WSM,336
San Marino,SMR,"3,675"
Sao Tome and Principe,STP,308
Saudi Arabia,SAU,"3,121"
Senegal,SEN,97
Serbia,SRB,"1,324"
Seychelles,SYC,867
Sierra Leone,SLE,256
Singapore,SGP,"3,681"
Slovakia,SVK,"2,062"
Slovenia,SVN,"2,734"
Solomon Islands,SLB,173
Somalia,SOM,-
South Africa,ZAF,"1,086"
South Sudan,SSD,71
Spain,ESP,"3,183"
Sri Lanka,LKA,353
Sudan,SDN,277
Suriname,SUR,"1,017"
Sweden,SWE,"5,299"
Switzerland,CHE,"7,583"
Syria,SYR,-
Taiwan,TWN,-
Tajikistan,TJK,193
Tanzania,TZA,96
Thailand,THA,610
Timor-Leste,TLS,141
Togo,TGO,96
Tonga,TON,324
Trinidad and Tobago,TTO,"2,204"
Tunisia,TUN,774
Turkey,TUR,996
Turkmenistan,TKM,"1,004"
Tuvalu,TUV,523
Uganda,UGA,139
Ukraine,UKR,469
United Arab Emirates,ARE,"2,426"
United Kingdom,GBR,"4,145"
United States,USA,"9,536"
Uruguay,URY,"1,748"
Uzbekistan,UZB,383
Vanuatu,VUT,106
Venezuela,VEN,579
Vietnam,VNM,334
Yemen,YEM,144
Zambia,ZMB,203
Zimbabwe,ZWE,182
