country,ISO Country code,population
Afghanistan,AFG,"36,000,000"
Albania,ALB,"2,900,000"
Algeria,DZA,"41,000,000"
Andorra,AND,"77,000"
Angola,AGO,"30,000,000"
Antigua & Barbuda,ATG,"102,000"
Argentina,ARG,"44,000,000"
Armenia,ARM,"3,000,000"
Australia,AUS,"25,000,000"
Austria,AUT,"9,000,000"
Azerbaijan,AZE,"10,000,000"
Bahamas,BHS,"400,000"
Bahrain,BHR,"1,300,000"
Bangladesh,BGD,"165,000,000"
Barbados,BRB,"300,000"
Belarus,BLR,"10,000,000"
Belgium,BEL,"11,000,000"
Belize,BLZ,"400,000"
Benin,BEN,"11,000,000"
Bhutan,BTN,"800,000"
Bolivia,BOL,"11,000,000"
Bosnia and Herzegovina,BIH,"3,900,000"
Botswana,BWA,"2,200,000"
Brazil,BRA,"209,000,000"
Brunei,BRN,"400,000"
Bulgaria,BGR,"7,000,000"
Burkina Faso,BFA,"19,000,000"
Burundi,BDI,"11,000,000"
Cabo Verde,CPV,"500,000"
Cambodia,KHM,"16,000,000"
Cameroon,CMR,"24,000,000"
Canada,CAN,"37,000,000"
Central African Republic,CAF,"4,900,000"
Chad,TCD,"15,000,000"
Chile,CHL,"18,000,000"
China,CHN,"1,386,000,000"
Colombia,COL,"49,000,000"
Comoros,COM,"800,000"
Congo (Dem. Rep.),COD,"81,000,000"
Congo (Rep.),COG,"4,500,000"
Costa Rica,CRI,"4,900,000"
Cote d'Ivoire,CIV,"24,000,000"
Croatia,HRV,"4,200,000"
Cuba,CUB,"11,000,000"
Cyprus,CYP,"800,000"
Czech Republic,CZE,"11,000,000"
Denmark,DNK,"6,000,000"
Djibouti,DJI,"1,000,000"
Dominica,DMA,"100,000"
Dominican Republic,DOM,"11,000,000"
Ecuador,ECU,"17,000,000"
Egypt,EGY,"98,000,000"
El Salvador,SLV,"6,000,000"
Equatorial Guinea,GNQ,"800,000"
Eritrea,ERI,"5,000,000"
Estonia,EST,"1,300,000"
Eswatini,SWZ,"1,100,000"
Ethiopia,ETH,"105,000,000"
Fiji,FJI,"900,000"
Finland,FIN,"6,000,000"
France,FRA,"67,000,000"
Gabon,GAB,"1,900,000"
"Gambia, The",GMB,"2,100,000"
Georgia,GEO,"3,700,000"
Germany,DEU,"83,000,000"
Ghana,GHA,"29,000,000"
Greece,GRC,"11,000,000"
Grenada,GRD,"108,000"
Guatemala,GTM,"17,000,000"
Guinea,GIN,"13,000,000"
Guinea-Bissau,GNB,"1,700,000"
Guyana,GUY,"800,000"
Haiti,HTI,"11,000,000"
Honduras,HND,"9,000,000"
Hungary,HUN,"10,000,000"
Iceland,ISL,"300,000"
India,IND,"1,339,000,000"
Indonesia,IDN,"264,000,000"
Iran,IRN,"81,000,000"
Iraq,IRQ,"38,000,000"
Ireland,IRL,"4,700,000"
Israel,ISR,"9,000,000"
Italy,ITA,"61,000,000"
Jamaica,JAM,"2,800,000"
Japan,JPN,"127,000,000"
Jordan,JOR,"10,000,000"
Kazakhstan,KAZ,"18,000,000"
Kenya,KEN,"50,000,000"
Kiribati,KIR,"100,000"
